Region,Month,Year,Date_cont,Bats_culled,Cull_prop,Vector_num,Vector_num_correct,Bats_culled_cum
Apurimac,7,2014,2014.5,0,0,82,91,0
Apurimac,8,2014,2014.666667,764,0.281503316,84,92,764
Apurimac,9,2014,2014.75,2714,1,85,93,3478
Apurimac,10,2014,2014.833333,2590,0.95431098,86,94,6068
Apurimac,11,2014,2014.916667,2204,0.812085483,87,95,8272
Apurimac,4,2015,2015.333333,1005,0.370302137,92,100,9277
Apurimac,5,2015,2015.416667,1576,0.580692704,93,101,10853
Apurimac,6,2015,2015.5,1405,0.517686072,94,102,12258
Apurimac,7,2015,2015.583333,1395,0.514001474,95,103,13653
Apurimac,8,2015,2015.666667,1151,0.424097273,96,104,14804
Apurimac,9,2015,2015.75,1387,0.511053795,97,105,16191
Apurimac,10,2015,2015.833333,1070,0.394252027,98,106,17261
Apurimac,11,2015,2015.916667,720,0.265291083,99,107,17981
Apurimac,12,2015,2016,600,0.221075903,100,108,18581
Apurimac,2,2016,2016.166667,748,0.275607959,102,110,19329
Apurimac,3,2016,2016.25,280,0.103168755,103,111,19609
Apurimac,7,2016,2016.583333,691,0.254605748,107,115,20300
Apurimac,8,2016,2016.666667,657,0.242078113,108,116,20957
