ID,Year,Month,Site,MR,Test
9110,2016,4,LMA5,Lima,0
7681,2016,4,LMA5,Lima,0
3859,2016,4,LMA5,Lima,0
9111,2016,4,LMA5,Lima,0
9112,2016,4,LMA5,Lima,0
9083,2016,4,LMA6,Lima,0
2926,2016,4,LMA6,Lima,0
4557,2016,4,LMA6,Lima,0
9084,2016,4,LMA6,Lima,0
9085,2016,4,LMA6,Lima,0
8060,2016,11,LMA6,Lima,0
8061,2016,11,LMA6,Lima,0
8062,2016,11,LMA6,Lima,0
8063,2016,11,LMA6,Lima,0
8064,2016,11,LMA6,Lima,0
D16,2013,7,AMA7,North,0
D17,2013,7,AMA7,North,0
D5,2013,7,AMA7,North,0
D6,2013,7,AMA7,North,0
D10,2013,7,AMA7,North,0
D12,2013,7,AMA7,North,0
D203,2013,8,AMA7,North,0
D23,2013,8,AMA7,North,0
D25,2013,8,AMA7,North,0
D14,2013,8,AMA7,North,0
D203,2015,10,AMA2,North,0
D94,2015,10,AMA2,North,0
D95,2015,10,AMA2,North,0
D97,2015,10,AMA2,North,0
D98,2015,10,AMA2,North,0
D99,2015,10,AMA2,North,0
SP3,2015,10,AMA2,North,0
D83,2015,10,CAJ4,North,0
D84,2015,10,CAJ4,North,0
D85,2015,10,CAJ4,North,0
D86,2015,10,CAJ4,North,0
D87,2015,10,CAJ4,North,0
D88,2015,10,CAJ4,North,0
D89,2015,10,CAJ4,North,0
D90,2015,10,CAJ4,North,0
D91,2015,10,CAJ4,North,0
D92,2015,10,CAJ4,North,0
D96,2016,8,AMA2,North,0
D237,2016,8,AMA2,North,0
D235,2016,8,AMA2,North,0
8080,2016,11,CAJ1,North,0
8081,2016,11,CAJ1,North,0
8082,2016,11,CAJ1,North,0
8083,2016,11,CAJ1,North,0
4156,2016,11,CAJ1,North,0
8084,2016,11,CAJ1,North,0
8085,2016,11,CAJ1,North,0
8086,2016,11,CAJ1,North,0
8087,2016,11,CAJ1,North,0
8088,2016,11,CAJ1,North,0
8096,2016,12,CAJ2,North,0
8097,2016,12,CAJ2,North,0
8098,2016,12,CAJ2,North,0
8099,2016,12,CAJ2,North,0
8100,2016,12,CAJ2,North,0
8101,2016,12,CAJ2,North,0
8102,2016,12,CAJ2,North,0
8103,2016,12,CAJ2,North,0
8104,2016,12,CAJ2,North,0
6168,2016,12,CAJ2,North,0
9237,2016,5,API140,South,0
9238,2016,5,API140,South,0
7132,2016,5,API140,South,0
7141,2016,5,API140,South,0
9239,2016,5,API140,South,0
9240,2016,5,API140,South,0
9241,2016,5,API140,South,0
9242,2016,5,API140,South,0
9245,2016,5,API140,South,0
9244,2016,5,API140,South,0
9126,2016,5,API141,South,0
6849,2016,5,API141,South,0
9128,2016,5,API141,South,0
6877,2016,5,API141,South,0
9127,2016,5,API141,South,0
9130,2016,5,API141,South,0
9129,2016,5,API141,South,0
9131,2016,5,API141,South,0
9132,2016,5,API141,South,0
9133,2016,5,API141,South,0
9216,2016,5,CUS8,South,0
9217,2016,5,CUS8,South,0
