Id,coord1,coord2,Serol,Year,Month,Day,Week,Site,Region,MetaRegion,MetaRegionB,Sex,Age,UK_Date,Date_continuous
5012,-9.14661,-75.79494,0,2012,7,4,27,UCA1,Ucayali,Center,Center,M,A,04/07/2012,2012.583333
5014,-9.14661,-75.79494,0,2012,7,4,27,UCA1,Ucayali,Center,Center,F,A,04/07/2012,2012.583333
5016,-9.14661,-75.79494,0,2012,7,4,27,UCA1,Ucayali,Center,Center,F,A,04/07/2012,2012.583333
5018,-9.14661,-75.79494,0,2012,7,4,27,UCA1,Ucayali,Center,Center,F,A,04/07/2012,2012.583333
5020,-9.14661,-75.79494,0,2012,7,4,27,UCA1,Ucayali,Center,Center,M,A,04/07/2012,2012.583333
5026,-9.14661,-75.79494,0,2012,7,5,27,UCA1,Ucayali,Center,Center,F,A,05/07/2012,2012.583333
5034,-9.14661,-75.79494,0,2012,7,5,27,UCA1,Ucayali,Center,Center,M,A,05/07/2012,2012.583333
5036,-9.14661,-75.79494,0,2012,7,5,27,UCA1,Ucayali,Center,Center,M,SA,05/07/2012,2012.583333
5042,-9.14661,-75.79494,0,2012,7,5,27,UCA1,Ucayali,Center,Center,F,SA,05/07/2012,2012.583333
5050,-9.14661,-75.79494,0,2012,7,5,27,UCA1,Ucayali,Center,Center,M,A,05/07/2012,2012.583333
5051,-9.14661,-75.79494,0,2012,7,5,27,UCA1,Ucayali,Center,Center,F,SA,05/07/2012,2012.583333
5052,-9.14661,-75.79494,0,2012,7,5,27,UCA1,Ucayali,Center,Center,M,A,05/07/2012,2012.583333
5053,-9.14661,-75.79494,0,2012,7,5,27,UCA1,Ucayali,Center,Center,M,A,05/07/2012,2012.583333
5054,-9.14661,-75.79494,0,2012,7,5,27,UCA1,Ucayali,Center,Center,M,A,05/07/2012,2012.583333
5055,-9.14661,-75.79494,0,2012,7,5,27,UCA1,Ucayali,Center,Center,F,A,05/07/2012,2012.583333
5056,-9.14661,-75.79494,0,2012,7,5,27,UCA1,Ucayali,Center,Center,M,SA,05/07/2012,2012.583333
5057,-8.43187,-75.16384,0,2012,7,6,27,UCA2,Ucayali,Center,Center,M,A,06/07/2012,2012.583333
5058,-8.43187,-75.16384,0,2012,7,6,27,UCA2,Ucayali,Center,Center,F,A,06/07/2012,2012.583333
5059,-8.37289,-75.12467,0,2012,7,7,27,UCA3,Ucayali,Center,Center,F,SA,07/07/2012,2012.583333
5060,-8.37289,-75.12467,0,2012,7,7,27,UCA3,Ucayali,Center,Center,M,A,07/07/2012,2012.583333
5061,-8.37289,-75.12467,0,2012,7,7,27,UCA3,Ucayali,Center,Center,M,A,07/07/2012,2012.583333
5062,-8.37289,-75.12467,0,2012,7,7,27,UCA3,Ucayali,Center,Center,F,A,07/07/2012,2012.583333
5063,-8.37289,-75.12467,0,2012,7,7,27,UCA3,Ucayali,Center,Center,M,A,07/07/2012,2012.583333
5064,-8.37289,-75.12467,0,2012,7,7,27,UCA3,Ucayali,Center,Center,F,A,07/07/2012,2012.583333
5065,-8.37289,-75.12467,0,2012,7,7,27,UCA3,Ucayali,Center,Center,M,J,07/07/2012,2012.583333
5066,-8.37289,-75.12467,0,2012,7,7,27,UCA3,Ucayali,Center,Center,F,J,07/07/2012,2012.583333
5067,-8.37289,-75.12467,0,2012,7,7,27,UCA3,Ucayali,Center,Center,M,A,07/07/2012,2012.583333
5068,-8.37289,-75.12467,0,2012,7,7,27,UCA3,Ucayali,Center,Center,M,J,07/07/2012,2012.583333
5069,-8.37289,-75.12467,0,2012,7,7,27,UCA3,Ucayali,Center,Center,F,A,07/07/2012,2012.583333
5071,-8.37289,-75.12467,0,2012,7,7,27,UCA3,Ucayali,Center,Center,M,A,07/07/2012,2012.583333
5072,-8.37289,-75.12467,0,2012,7,7,27,UCA3,Ucayali,Center,Center,M,A,07/07/2012,2012.583333
5503,-9.14661,-75.79494,0,2012,10,23,43,UCA1,Ucayali,Center,Center,F,A,23/10/2012,2012.833333
5505,-9.14661,-75.79494,0,2012,10,23,43,UCA1,Ucayali,Center,Center,F,A,23/10/2012,2012.833333
5506,-9.14661,-75.79494,0,2012,10,23,43,UCA1,Ucayali,Center,Center,F,A,23/10/2012,2012.833333
5507,-9.14661,-75.79494,0,2012,10,23,43,UCA1,Ucayali,Center,Center,M,A,23/10/2012,2012.833333
5508,-9.14661,-75.79494,0,2012,10,23,43,UCA1,Ucayali,Center,Center,F,A,23/10/2012,2012.833333
5509,-9.14661,-75.79494,0,2012,10,23,43,UCA1,Ucayali,Center,Center,M,A,23/10/2012,2012.833333
5510,-9.14661,-75.79494,0,2012,10,23,43,UCA1,Ucayali,Center,Center,M,A,23/10/2012,2012.833333
5511,-9.14661,-75.79494,0,2012,10,23,43,UCA1,Ucayali,Center,Center,F,A,23/10/2012,2012.833333
5513,-9.14661,-75.79494,0,2012,10,23,43,UCA1,Ucayali,Center,Center,M,A,23/10/2012,2012.833333
5514,-9.14661,-75.79494,0,2012,10,23,43,UCA1,Ucayali,Center,Center,F,A,23/10/2012,2012.833333
5515,-9.14661,-75.79494,0,2012,10,23,43,UCA1,Ucayali,Center,Center,F,A,23/10/2012,2012.833333
5516,-9.14661,-75.79494,0,2012,10,23,43,UCA1,Ucayali,Center,Center,M,A,23/10/2012,2012.833333
5517,-9.14661,-75.79494,0,2012,10,23,43,UCA1,Ucayali,Center,Center,M,A,23/10/2012,2012.833333
5518,-9.14661,-75.79494,0,2012,10,23,43,UCA1,Ucayali,Center,Center,F,A,23/10/2012,2012.833333
5519,-9.14661,-75.79494,0,2012,10,23,43,UCA1,Ucayali,Center,Center,F,A,23/10/2012,2012.833333
5520,-9.14661,-75.79494,0,2012,10,23,43,UCA1,Ucayali,Center,Center,M,A,23/10/2012,2012.833333
5521,-9.14661,-75.79494,0,2012,10,23,43,UCA1,Ucayali,Center,Center,M,A,23/10/2012,2012.833333
5522,-9.14661,-75.79494,0,2012,10,23,43,UCA1,Ucayali,Center,Center,M,A,23/10/2012,2012.833333
5523,-9.14661,-75.79494,0,2012,10,23,43,UCA1,Ucayali,Center,Center,M,A,23/10/2012,2012.833333
5524,-9.14661,-75.79494,0,2012,10,23,43,UCA1,Ucayali,Center,Center,M,A,23/10/2012,2012.833333
5525,-9.14661,-75.79494,0,2012,10,23,43,UCA1,Ucayali,Center,Center,F,A,23/10/2012,2012.833333
5526,-9.14661,-75.79494,0,2012,10,23,43,UCA1,Ucayali,Center,Center,M,A,23/10/2012,2012.833333
5527,-9.14661,-75.79494,0,2012,10,23,43,UCA1,Ucayali,Center,Center,F,A,23/10/2012,2012.833333
5528,-9.14661,-75.79494,0,2012,10,23,43,UCA1,Ucayali,Center,Center,F,A,23/10/2012,2012.833333
5529,-9.14661,-75.79494,0,2012,10,23,43,UCA1,Ucayali,Center,Center,M,A,23/10/2012,2012.833333
5530,-9.14661,-75.79494,0,2012,10,23,43,UCA1,Ucayali,Center,Center,M,A,23/10/2012,2012.833333
5531,-9.14661,-75.79494,0,2012,10,23,43,UCA1,Ucayali,Center,Center,M,A,23/10/2012,2012.833333
5532,-9.14661,-75.79494,0,2012,10,23,43,UCA1,Ucayali,Center,Center,F,A,23/10/2012,2012.833333
5533,-9.14661,-75.79494,0,2012,10,23,43,UCA1,Ucayali,Center,Center,M,A,23/10/2012,2012.833333
5534,-8.37289,-75.12467,0,2012,10,25,43,UCA3,Ucayali,Center,Center,F,A,25/10/2012,2012.833333
